,movie_title,year,star_cast,rating
0,The Shawshank Redemption,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.22262437662618
1,The Godfather,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.14891036093325
2,The Godfather: Part II,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.981297212263943
3,The Dark Knight,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.972628027316375
4,12 Angry Men,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.929539481284934
5,Schindler's List,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.906546406647287
6,The Lord of the Rings: The Return of the King,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.882960998298335
7,Pulp Fiction,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.84590407398774
8,"The Good, the Bad and the Ugly",1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.79711950802209
9, The Lord of the Rings: The Fellowship of the Ring,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.774756293315512
10,Fight Club,1999,"David Fincher (dir.), Brad Pitt, Edward Norton",8.767419953749872
11,Forrest Gump,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.752875395737203
12,Inception,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.720077618177356
13,Star Wars: Episode V - The Empire Strikes Back,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.699105989026695
14,The Lord of the Rings: The Two Towers,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.698182614859839
15,The Matrix,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.648472843573414
16,Goodfellas,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.643401127027262
17,One Flew Over the Cuckoo's Nest,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.639780157148968
18,Shichinin no samurai,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.604139423800813
19,Seven,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.591782427971623
20,Het leven is mooi,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.583073864946329
21,Cidade de Deus,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.580652313740632
22,The Silence of the Lambs,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.575051153772854
23,It's a Wonderful Life,1946,"Frank Capra (dir.), James Stewart, Donna Reed",8.571323916833641
24,Star Wars: Episode IV - A New Hope,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.557128957199462
25,Saving Private Ryan,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.549063885828138
26,Spirited Away,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.541030973305881
27,The Green Mile,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.536919431391302
28,Gisaengchung,2019,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",8.535528614619903
29,Interstellar,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.5302236722682
30,Hamilton,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.523292061630261
31,Léon,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.511825196287923
32,The Usual Suspects,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.501218260721272
33,Seppuku,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.499515642479942
34,The Lion King,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.491801227058028
35,Terug naar de toekomst,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.486452242058252
36,The Pianist,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.485970002463558
37,Terminator 2: Judgment Day,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.485669515429398
38,American History X,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.484231172291143
39,Modern Times,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.48332459466351
40,Psycho,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.477075854015498
41,Gladiator,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.476290745014753
42,City Lights,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.473091502610876
43,The Departed,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.471665495521247
44,The Intouchables,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.469430369466235
45,Whiplash,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.468262940498438
46,The Prestige,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.459257631678705
47,Hotaru no haka,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.453570505536376
48,Once Upon a Time in the West,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.450668529640517
49,Casablanca,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.43873692557101
50,Nuovo Cinema Paradiso,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.43124128829153
51,Rear Window,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.428270390893656
52,Alien,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.42181387778301
53,Apocalypse Now,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.419660211909862
54,Memento,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.415057091015788
55,Indiana Jones and the Raiders of the Lost Ark,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.41175496068199
56,De dictator,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.411153449027337
57,Joker,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.399492727399894
58,Django Unchained,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.390561265056062
59,Das Leben der Anderen,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.390361891506206
60,Paths of Glory,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.374920889517373
61,The Shining,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.36896415635519
62,WALL·E,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.368266371497919
63,Avengers: Infinity War,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.366159939424136
64,Sunset Boulevard,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.360592021878535
65,Mononoke-hime,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.35246730798933
66,Spider-Man: Een nieuw universum,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.352447144116162
67,Witness for the Prosecution,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.352434550588335
68,Oldeuboi,2003,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo",8.351297586664092
69,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.351256677759906
70,The Dark Knight Rises,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.333944552318005
71,Once Upon a Time in America,1984,"Sergio Leone (dir.), Robert De Niro, James Woods",8.331526120440873
72,Avengers: Endgame,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.324271743390666
73,Aliens,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.324262621884673
74,Kimi no na wa,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.319989242474898
75,Coco,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.314064134484036
76,American Beauty,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.308038467017877
77,Braveheart,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.302963901186594
78,3 Idiots,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.301041486473702
79,Das Boot,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.299643396760459
80,Toy Story,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.295915348518964
81,Tengoku to jigoku,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.295626598314202
82,Amadeus,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.289481812171417
83,Taare Zameen Par,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.288381957113904
84,Star Wars: Episode VI - Return of the Jedi,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.286367131432202
85,Inglourious Basterds,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.284016226394723
86,Reservoir Dogs,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.282215340801915
87,Good Will Hunting,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.279694793453892
88,Capharnaüm,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.277980214379825
89,2001: Een zwerftocht in de ruimte,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.27177098968312
90,Requiem for a Dream,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.267761011725849
91,Vertigo,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.267019090086146
92,M - Eine Stadt sucht einen Mörder,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.26429975659493
93,Dangal,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.262966894423569
94,1917,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.262124531002023
