"movie_name","movie_year","category"
"Disaster Movie","2008","lowest rated movies"
"Superbabies: Baby Geniuses 2","2004","lowest rated movies"
"Manos: The Hands of Fate","1966","lowest rated movies"
"Code Name: K.O.Z.","2015","lowest rated movies"
"Birdemic: Shock and Terror","2010","lowest rated movies"
"Kirk Cameron's Saving Christmas","2014","lowest rated movies"
"The Hottie & the Nottie","2008","lowest rated movies"
"House of the Dead","2003","lowest rated movies"
"Pledge This!","2006","lowest rated movies"
"Son of the Mask","2005","lowest rated movies"
"Turks in Space","2006","lowest rated movies"
"Epic Movie","2007","lowest rated movies"
"Alone in the Dark","2005","lowest rated movies"
"From Justin to Kelly","2003","lowest rated movies"
"Going Overboard","1989","lowest rated movies"
"Battlefield Earth","2000","lowest rated movies"
"Dragonball Evolution","2009","lowest rated movies"
"Daniel the Wizard","2004","lowest rated movies"
"Gigli","2003","lowest rated movies"
"Race 3","2018","lowest rated movies"
"Glitter","2001","lowest rated movies"
"Meet the Spartans","2008","lowest rated movies"
"Date Movie","2006","lowest rated movies"
"Baby Geniuses","1999","lowest rated movies"
"Cats","2019","lowest rated movies"
"Who's Your Caddy?","2007","lowest rated movies"
"Enes Batur","2018","lowest rated movies"
"Hobgoblins","1988","lowest rated movies"
"Jaws: The Revenge","1987","lowest rated movies"
"The Human Centipede III (Final Sequence)","2015","lowest rated movies"
"BloodRayne","2005","lowest rated movies"
"Troll 2","1990","lowest rated movies"
"Left Behind","2014","lowest rated movies"
"Tees Maar Khan","2010","lowest rated movies"
"Kazaam","1996","lowest rated movies"
"Gunday","2014","lowest rated movies"
"Rollerball","2002","lowest rated movies"
"Jack and Jill","2011","lowest rated movies"
"Santa Claus Conquers the Martians","1964","lowest rated movies"
"Steel","1997","lowest rated movies"
"Catwoman","2004","lowest rated movies"
"The Emoji Movie","2017","lowest rated movies"
"Slender Man","2018","lowest rated movies"
"The Starving Games","2013","lowest rated movies"
"Vampires Suck","2010","lowest rated movies"
"365 Days","2020","lowest rated movies"
"Bratz","2007","lowest rated movies"
"Daddy Day Camp","2007","lowest rated movies"
"The Open House","2018","lowest rated movies"
"Barb Wire","1996","lowest rated movies"
"Far Cry","2008","lowest rated movies"
"3 Ninjas: High Noon at Mega Mountain","1998","lowest rated movies"
"Student of the Year 2","2019","lowest rated movies"
"Dumb and Dumberer: When Harry Met Lloyd","2003","lowest rated movies"
"Texas Chainsaw Massacre: The Next Generation","1995","lowest rated movies"
"Scary Movie V","2013","lowest rated movies"
"The Master of Disguise","2002","lowest rated movies"
"Hercules in New York","1970","lowest rated movies"
"Spy Kids 4-D: All the Time in the World","2011","lowest rated movies"
"Spice World","1997","lowest rated movies"
"Crossroads","2002","lowest rated movies"
"Bucky Larson: Born to Be a Star","2011","lowest rated movies"
"Feardotcom","2002","lowest rated movies"
"The Adventures of Sharkboy and Lavagirl 3-D","2005","lowest rated movies"
"The Room","2003","lowest rated movies"
"The NeverEnding Story III","1994","lowest rated movies"
"Captain America","1990","lowest rated movies"
"Fifty Shades of Black","2016","lowest rated movies"
"Police Academy: Mission to Moscow","1994","lowest rated movies"
"Dragon Wars: D-War","2007","lowest rated movies"
"Batman & Robin","1997","lowest rated movies"
"Jaws 3-D","1983","lowest rated movies"
"The Wicker Man","2006","lowest rated movies"
"I Know Who Killed Me","2007","lowest rated movies"
"Dungeons & Dragons","2000","lowest rated movies"
"Mortal Kombat: Annihilation","1997","lowest rated movies"
"Superman IV: The Quest for Peace","1987","lowest rated movies"
"The Fog","2005","lowest rated movies"
"Piranha 3DD","2012","lowest rated movies"
"Mac and Me","1988","lowest rated movies"
"The Flintstones in Viva Rock Vegas","2000","lowest rated movies"
"The Love Guru","2008","lowest rated movies"
"Street Fighter: The Legend of Chun-Li","2009","lowest rated movies"
"In the Name of the King: A Dungeon Siege Tale","2007","lowest rated movies"
"Teen Wolf Too","1987","lowest rated movies"
"Stan Helsing","2009","lowest rated movies"
"The Human Centipede II (Full Sequence)","2011","lowest rated movies"
"Dance Flick","2009","lowest rated movies"
"S. Darko","2009","lowest rated movies"
"The Avengers","1998","lowest rated movies"
"Speed 2: Cruise Control","1997","lowest rated movies"
"The Hungover Games","2014","lowest rated movies"
"Recep Ivedik 5","2017","lowest rated movies"
"Swept Away","2002","lowest rated movies"
"Ballistic: Ecks vs. Sever","2002","lowest rated movies"
"The Adventures of Pluto Nash","2002","lowest rated movies"
"Holmes & Watson","2018","lowest rated movies"
"Exorcist II: The Heretic","1977","lowest rated movies"
"Beverly Hills Chihuahua","2008","lowest rated movies"
"The Cat in the Hat","2003","lowest rated movies"
