"movie_name","movie_year","category"
"The Umbrella Academy","2019","most popular TV shows"
"Lovecraft Country","2020","most popular TV shows"
"Lucifer","2016","most popular TV shows"
"Yellowstone","2018","most popular TV shows"
"Teenage Bounty Hunters","2020","most popular TV shows"
"Dirty John","2018","most popular TV shows"
"The Boys","2019","most popular TV shows"
"Game of Thrones","2011","most popular TV shows"
"Dark","2017","most popular TV shows"
"The Legend of Korra","2012","most popular TV shows"
"Ted Lasso","2020","most popular TV shows"
"The 100","2014","most popular TV shows"
"The Office","2005","most popular TV shows"
"Supernatural","2005","most popular TV shows"
"The Fall","2013","most popular TV shows"
"Shameless","2011","most popular TV shows"
"Grey's Anatomy","2005","most popular TV shows"
"Breaking Bad","2008","most popular TV shows"
"Perry Mason","2020","most popular TV shows"
"Criminal Minds","2005","most popular TV shows"
"Agents of S.H.I.E.L.D.","2013","most popular TV shows"
"Vikings","2013","most popular TV shows"
"The Crown","2016","most popular TV shows"
"Stranger Things","2016","most popular TV shows"
"Kingdom","2014","most popular TV shows"
"Schitt's Creek","2015","most popular TV shows"
"Community","2009","most popular TV shows"
"The Walking Dead","2010","most popular TV shows"
"Fargo","2014","most popular TV shows"
"Friends","1994","most popular TV shows"
"Peaky Blinders","2013","most popular TV shows"
"Ozark","2017","most popular TV shows"
"Modern Family","2009","most popular TV shows"
"Sons of Anarchy","2008","most popular TV shows"
"Money Heist","2017","most popular TV shows"
"New Girl","2011","most popular TV shows"
"The Sopranos","1999","most popular TV shows"
"The Big Bang Theory","2007","most popular TV shows"
"Suits","2011","most popular TV shows"
"Euphoria","2019","most popular TV shows"
"Cursed","2020","most popular TV shows"
"Avatar: The Last Airbender","2005","most popular TV shows"
"Brooklyn Nine-Nine","2013","most popular TV shows"
"Outlander","2014","most popular TV shows"
"The Last Kingdom","2015","most popular TV shows"
"Black Mirror","2011","most popular TV shows"
"Better Call Saul","2015","most popular TV shows"
"Doom Patrol","2019","most popular TV shows"
"American Horror Story","2011","most popular TV shows"
"Good Girls","2018","most popular TV shows"
"The Mandalorian","2019","most popular TV shows"
"The Blacklist","2013","most popular TV shows"
"The Vampire Diaries","2009","most popular TV shows"
"The Handmaid's Tale","2017","most popular TV shows"
"NCIS","2003","most popular TV shows"
"Law & Order: Special Victims Unit","1999","most popular TV shows"
"Line of Duty","2012","most popular TV shows"
"Succession","2018","most popular TV shows"
"Lost","2004","most popular TV shows"
"Glee","2009","most popular TV shows"
"Bandish Bandits","2020","most popular TV shows"
"Parks and Recreation","2009","most popular TV shows"
"Doctor Who","2005","most popular TV shows"
"Westworld","2016","most popular TV shows"
"The Rain","2018","most popular TV shows"
"How I Met Your Mother","2005","most popular TV shows"
"Endeavour","2012","most popular TV shows"
"The Fugitive","2020","most popular TV shows"
"The Wire","2002","most popular TV shows"
"Star Trek: The Next Generation","1987","most popular TV shows"
"Hannibal","2013","most popular TV shows"
"House","2004","most popular TV shows"
"Buffy the Vampire Slayer","1997","most popular TV shows"
"Once Upon a Time","2011","most popular TV shows"
"Dexter","2006","most popular TV shows"
"The Witcher","2019","most popular TV shows"
"How to Get Away with Murder","2014","most popular TV shows"
"Homeland","2011","most popular TV shows"
"Gilmore Girls","2000","most popular TV shows"
"The Alienist: Angel of Darkness","2018","most popular TV shows"
"3%","2016","most popular TV shows"
"The Sinner","2017","most popular TV shows"
"The Flash","2014","most popular TV shows"
"Selling Sunset","2019","most popular TV shows"
"Prison Break","2005","most popular TV shows"
"Warrior Nun","2020","most popular TV shows"
"Bones","2005","most popular TV shows"
"Biohackers","2020","most popular TV shows"
"True Detective","2014","most popular TV shows"
"Watchmen","2019","most popular TV shows"
"Rick and Morty","2013","most popular TV shows"
"Midsomer Murders","1997","most popular TV shows"
"Raised by Wolves","2020","most popular TV shows"
"Sherlock","2010","most popular TV shows"
"This Is Us","2016","most popular TV shows"
"Downton Abbey","2010","most popular TV shows"
"Mad Men","2007","most popular TV shows"
"Arrow","2012","most popular TV shows"
"It's Always Sunny in Philadelphia","2005","most popular TV shows"
"Utopia","2020","most popular TV shows"
