"movie_name","movie_year","category"
"Project Power","2020","most popular movies"
"Death on the Nile","2020","most popular movies"
"Tenet","2020","most popular movies"
"Cuties","2020","most popular movies"
"The Devil All the Time","2020","most popular movies"
"365 Days","2020","most popular movies"
"Khuda Haafiz","2020","most popular movies"
"Harley Quinn: Birds of Prey","2020","most popular movies"
"Knives Out","2019","most popular movies"
"Unhinged","2020","most popular movies"
"The Tax Collector","2020","most popular movies"
"Sputnik","2020","most popular movies"
"The One and Only Ivan","2020","most popular movies"
"Mulan","2020","most popular movies"
"Enola Holmes","2020","most popular movies"
"The Old Guard","2020","most popular movies"
"Ava","2020","most popular movies"
"Lost Girls and Love Hotels","2020","most popular movies"
"Time Trap","2017","most popular movies"
"Dune","2020","most popular movies"
"The Peanut Butter Falcon","2019","most popular movies"
"The Lost Husband","2020","most popular movies"
"Hamilton","2020","most popular movies"
"An Easy Girl","2019","most popular movies"
"The New Mutants","2020","most popular movies"
"Inception","2010","most popular movies"
"Joker","2019","most popular movies"
"Wonder Woman 1984","2020","most popular movies"
"Gunjan Saxena: The Kargil Girl","2020","most popular movies"
"Work It","2020","most popular movies"
"The Greatest Showman","2017","most popular movies"
"The Batman","2021","most popular movies"
"Jojo Rabbit","2019","most popular movies"
"Magic Camp","2020","most popular movies"
"Jumanji: The Next Level","2019","most popular movies"
"Palm Springs","2020","most popular movies"
"The Godfather","1972","most popular movies"
"Once Upon a Time... In Hollywood","2019","most popular movies"
"Tesla","2020","most popular movies"
"Eurovision Song Contest: The Story of Fire Saga","2020","most popular movies"
"The Secrets We Keep","2020","most popular movies"
"An American Pickle","2020","most popular movies"
"On the Rocks","2020","most popular movies"
"The Gentlemen","2019","most popular movies"
"Dil Bechara","2020","most popular movies"
"Parasite","2019","most popular movies"
"Greyhound","2020","most popular movies"
"Avengers: Endgame","2019","most popular movies"
"Chemical Hearts","2020","most popular movies"
"Love","2015","most popular movies"
"We Summon the Darkness","2019","most popular movies"
"After We Collided","2020","most popular movies"
"Bill & Ted Face the Music","2020","most popular movies"
"Interstellar","2014","most popular movies"
"The Sleepover","2020","most popular movies"
"The Rental","2020","most popular movies"
"Doctor Sleep","2019","most popular movies"
"Jurassic Park","1993","most popular movies"
"The Shawshank Redemption","1994","most popular movies"
"Midsommar","2019","most popular movies"
"The Silencing","2020","most popular movies"
"Murder on the Orient Express","2017","most popular movies"
"Bloodshot","2020","most popular movies"
"Let Him Go","2020","most popular movies"
"Harry Potter and the Sorcerer's Stone","2001","most popular movies"
"1917","2019","most popular movies"
"The Outpost","2020","most popular movies"
"No Time to Die","2020","most popular movies"
"Words on Bathroom Walls","2020","most popular movies"
"Peninsula","2020","most popular movies"
"The Lighthouse","2019","most popular movies"
"The Wolf of Wall Street","2013","most popular movies"
"Twilight","2008","most popular movies"
"Bad Boys for Life","2020","most popular movies"
"The Dark Knight","2008","most popular movies"
"Ford v Ferrari","2019","most popular movies"
"Spree","2020","most popular movies"
"Midway","2019","most popular movies"
"Class of '83","2020","most popular movies"
"Little Women","2019","most popular movies"
"Host","2020","most popular movies"
"The Lost Boys","1987","most popular movies"
"Scott Pilgrim vs. the World","2010","most popular movies"
"The King of Staten Island","2020","most popular movies"
"The Godfather: Part II","1974","most popular movies"
"Waiting for the Barbarians","2019","most popular movies"
"The Hunt","2020","most popular movies"
"Inglourious Basterds","2009","most popular movies"
"The Kissing Booth 2","2020","most popular movies"
"Deep Blue Sea 3","2020","most popular movies"
"The Bay of Silence","2020","most popular movies"
"The Invisible Man","2020","most popular movies"
"The SpongeBob Movie: Sponge On The Run","2020","most popular movies"
"Uncut Gems","2019","most popular movies"
"Charlie's Angels","2019","most popular movies"
"Guardians of the Galaxy","2014","most popular movies"
"Solo: A Star Wars Story","2018","most popular movies"
"After","2019","most popular movies"
"Goodfellas","1990","most popular movies"
"Greenland","2020","most popular movies"
