"movie_name","movie_year","category"
"Planet Earth II","2016","top rated TV shows"
"Planet Earth","2006","top rated TV shows"
"Band of Brothers","2001","top rated TV shows"
"Breaking Bad","2008","top rated TV shows"
"Chernobyl","2019","top rated TV shows"
"The Wire","2002","top rated TV shows"
"Blue Planet II","2017","top rated TV shows"
"Our Planet","2019","top rated TV shows"
"Cosmos: A Spacetime Odyssey","2014","top rated TV shows"
"Cosmos","1980","top rated TV shows"
"Game of Thrones","2011","top rated TV shows"
"Avatar: The Last Airbender","2005","top rated TV shows"
"Rick and Morty","2013","top rated TV shows"
"The Last Dance","2020","top rated TV shows"
"The Sopranos","1999","top rated TV shows"
"The World at War","1973","top rated TV shows"
"Life","2009","top rated TV shows"
"Fullmetal Alchemist: Brotherhood","2009","top rated TV shows"
"The Vietnam War","2017","top rated TV shows"
"Sherlock","2010","top rated TV shows"
"The Twilight Zone","1959","top rated TV shows"
"The Beatles Anthology","1995","top rated TV shows"
"Human Planet","2011","top rated TV shows"
"Sahsiyet","2018","top rated TV shows"
"The Blue Planet","2001","top rated TV shows"
"Batman: The Animated Series","1992","top rated TV shows"
"Frozen Planet","2011","top rated TV shows"
"Firefly","2002","top rated TV shows"
"Dekalog","1989","top rated TV shows"
"True Detective","2014","top rated TV shows"
"The Civil War","1990","top rated TV shows"
"Death Note","2006","top rated TV shows"
"Apocalypse: The Second World War","2009","top rated TV shows"
"Fargo","2014","top rated TV shows"
"Cowboy Bebop","1998","top rated TV shows"
"Africa","2013","top rated TV shows"
"When They See Us","2019","top rated TV shows"
"Last Week Tonight with John Oliver","2014","top rated TV shows"
"TVF Pitchers","2015","top rated TV shows"
"Hunter x Hunter","2011","top rated TV shows"
"Only Fools and Horses","1981","top rated TV shows"
"The Office","2005","top rated TV shows"
"Friends","1994","top rated TV shows"
"Das Boot","1985","top rated TV shows"
"Monty Python's Flying Circus","1969","top rated TV shows"
"Gravity Falls","2012","top rated TV shows"
"Seinfeld","1989","top rated TV shows"
"Ramayan","1987","top rated TV shows"
"Pride and Prejudice","1995","top rated TV shows"
"How the Universe Works","2010","top rated TV shows"
"Black Mirror","2011","top rated TV shows"
"Nathan for You","2013","top rated TV shows"
"Twin Peaks","1990","top rated TV shows"
"Over the Garden Wall","2014","top rated TV shows"
"One Punch Man","2015","top rated TV shows"
"Narcos","2015","top rated TV shows"
"Dark","2017","top rated TV shows"
"Peaky Blinders","2013","top rated TV shows"
"Blackadder Goes Forth","1989","top rated TV shows"
"Attack on Titan","2013","top rated TV shows"
"Freaks and Geeks","1999","top rated TV shows"
"Fawlty Towers","1975","top rated TV shows"
"Chappelle's Show","2003","top rated TV shows"
"Kota Factory","2019","top rated TV shows"
"It's Always Sunny in Philadelphia","2005","top rated TV shows"
"Stranger Things","2016","top rated TV shows"
"Black Sun","2017","top rated TV shows"
"Dragon Ball Z","1989","top rated TV shows"
"Arrested Development","2003","top rated TV shows"
"Rome","2005","top rated TV shows"
"The West Wing","1999","top rated TV shows"
"Steins;Gate","2011","top rated TV shows"
"Leyla and Mecnun","2011","top rated TV shows"
"Vratice se rode","2007","top rated TV shows"
"Dragon Ball Z","1996","top rated TV shows"
"Oz","1997","top rated TV shows"
"Better Call Saul","2015","top rated TV shows"
