name,address,cost_per_two,timings,category,cusine,detailed_address,featured_in,discount
Subway,Infocity,₹500,11am – 12midnight (Mon-Sun),Quick Bites,"Healthy Food,Sandwich,Salad,Wraps,Fast Food"," Shop 1, Super Mall 1, Infocity, Gandhinagar",,NULL
Spices & Herbs,Infocity,₹700,"12noon – 3pm, 7pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Mexican,Chinese"," Swagat Rainforest 2, Opposite Swaminarayan Dham, Infocity, Gandhinagar","Outdoor Seating,Unique Dining",NULL
Terracotta,Airport Gandhinagar Highway,"₹1,000","12noon – 3pm, 7pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Italian,Chinese"," A-101, Pramukh Arcade 2, Near Reliance Cross Road, Kudasan, Airport Gandhinagar Highway, Gandhinagar",Best of Ahmedabad,NULL
Creamoholic Cafe & Restaurant,Airport Gandhinagar Highway,₹700,12noon – 6am (Mon-Sun),Café,"Cafe,North Indian,Continental"," G Block, 59/60, Krishna Kunj Complex, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Domino's Pizza,"Sector 11, Gandhinagar",₹600,10:57am – 3am (Mon-Sun),Quick Bites,"Pizza,Fast Food"," 231, Haveli Arcade, Sector 11, Gandhinagar",,NULL
Trupti Ice Cream Parlour,"Sector 16, Gandhinagar",₹250,"10:30am – 10pm (Mon, Tue, Wed, Fri, Sat, Sun)...",Dessert Parlor,"Desserts,Ice Cream"," 382 & 383, Near DCB Bank, Sector 16, Gandhinagar",,NULL
Mocha,Infocity,"₹1,200",12noon – 9:30pm (Mon-Sun),Café,"Cafe,Italian,North Indian,Continental,Beverages,Desserts"," SG Highway, Near Indroda Circle, Infocity, Gandhinagar","Great Coffee,Trending This Week",10% off on all orders above ₹499
Mezza 9,Airport Gandhinagar Highway,₹700,"11am – 3pm, 7pm – 11:30pm (Mon-Sun)",Casual Dining,"North Indian,Beverages"," Plot Radhe Fortune, Near Apollo Circle, Airport Gandhinagar Highway, Gandhinagar",,NULL
La Pino'z Pizza,Airport Gandhinagar Highway,₹800,11am – 11pm (Mon-Sun),Quick Bites,"Pizza,Italian,Fast Food,Desserts,Beverages"," A 139, Pramukh Arcade, Kudasan, Gandhinagar, Airport Gandhinagar Highway, Gandhinagar",Best Pizza in Town,NULL
Bhavnaben Raval,"Chopati, Sector 16",₹300,11am – 11pm (Mon-Sun),Quick Bites,"North Indian,Chinese,South Indian"," Shop 77, Chopati, GH Road, Sector 16, Gandhinagar",,NULL
Cafe Chocoaddict,Airport Gandhinagar Highway,₹400,"12midnight – 12:30am, 11am – 12midnight...",Café,Cafe," 52, Radhe Square Building, Near Reliance Chokdi, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
